,title,geo_accession,source_name,organism,taxid,tissue,animal_id,pitt_id,vax_group,vax_dose,dose_group,time_after_bcg,total_mtb_cfu,log_mtb_cfu,grans_nx,protect_outcome,description
99,DG82 ID/AE wk12,GSM6735669,Whole Blood,Macaca mulatta,9544,Whole Blood,DG82,13917,ID/AE,3.7E+07 / 3.1E+05,high,wk12,11395.0,4.057,17,not_protected,DG82_84
100,DJF9 IV pre,GSM6735670,Whole Blood,Macaca mulatta,9544,Whole Blood,DJF9,36316,IV,5.20E+07,high,pre,45.0,1.663,3,protected,DJF9_29
101,DJF9 IV d2,GSM6735671,Whole Blood,Macaca mulatta,9544,Whole Blood,DJF9,36316,IV,5.20E+07,high,d2,45.0,1.663,3,protected,DJF9_30
102,DJF9 IV wk2,GSM6735672,Whole Blood,Macaca mulatta,9544,Whole Blood,DJF9,36316,IV,5.20E+07,high,wk2,45.0,1.663,3,protected,DJF9_31
103,DJF9 IV wk12,GSM6735673,Whole Blood,Macaca mulatta,9544,Whole Blood,DJF9,36316,IV,5.20E+07,high,wk12,45.0,1.663,3,protected,DJF9_32
104,HBN ID/AE pre,GSM6735674,Whole Blood,Macaca mulatta,9544,Whole Blood,HBN,12817,ID/AE,3.7E+07 / 3.1E+05,high,pre,315270.0,5.499,36,not_protected,HBN_41
105,HBN ID/AE d2,GSM6735675,Whole Blood,Macaca mulatta,9544,Whole Blood,HBN,12817,ID/AE,3.7E+07 / 3.1E+05,high,d2,315270.0,5.499,36,not_protected,HBN_42
106,HBN ID/AE wk2,GSM6735676,Whole Blood,Macaca mulatta,9544,Whole Blood,HBN,12817,ID/AE,3.7E+07 / 3.1E+05,high,wk2,315270.0,5.499,36,not_protected,HBN_43
107,HBN ID/AE wk12,GSM6735677,Whole Blood,Macaca mulatta,9544,Whole Blood,HBN,12817,ID/AE,3.7E+07 / 3.1E+05,high,wk12,315270.0,5.499,36,not_protected,HBN_44
108,HCA AE pre,GSM6735678,Whole Blood,Macaca mulatta,9544,Whole Blood,HCA,14017,AE,3.70E+07,high,pre,187339.0,5.273,43,not_protected,HCA_77
109,HCA AE d2,GSM6735679,Whole Blood,Macaca mulatta,9544,Whole Blood,HCA,14017,AE,3.70E+07,high,d2,187339.0,5.273,43,not_protected,HCA_78
